Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Gravity Well,0,0.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Action,Indie",
BifrÃ¶st: Through the Realms,0,0,,0,0,0,0,0,0,Single-player,"Action,Adventure,Indie",
The End of an Actress,0,9.99,,0,0,0,0,5,0,"Single-player,Steam Achievements,Family Sharing",Indie,
Logic - Electrons Connect,0,1.99,,0,0,0,0,6,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie",
Zopa,0,0.99,,0,0,0,0,5,0,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,RPG",
Kunoichi Botan,0,14.99,,0,0,0,0,30,454,"Single-player,Steam Cloud,Family Sharing","Indie,RPG",
Aluna: Sentinel of the Shards,0,9.99,,0,0,0,0,27,0,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie,RPG",
Kitten Tales,0,9.99,,0,0,0,0,8,0,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Partial Controller Support,Family Sharing","Adventure,Indie,Racing",
Exterminate the world - ç­ä¸–VR,0,5.99,,0,0,0,0,0,0,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Violent,Gore,Action,Casual,RPG",
Final Assault,0,9.99,"â€œFinal Assault â€“ War Is Hellâ€¦Ishly Good Fun Hours and hours of high-quality entertainment.â€ 4/5 â€“ VRFocus â€œFinal Assault is such an incredibly addictive game that youâ€™ll find you canâ€™t stop playing it, months and months after you first install it.â€ FORBES Magazine â€œFinal Assault is a legitimate opportunity for compelling competitive VRâ€ DailyEsports",0,0,0,0,87,390,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Tracked Controller Support,VR Only,Stats,Steam Leaderboards,Steam Turn Notifications,Family Sharing",Strategy,
This Game Might Improve Your Memory,0,0,,0,0,0,0,0,0,Single-player,"Adventure,Indie,Simulation",
Ecstasy Elf Shotenken -Naruru's Sexy Adventure-,0,3.99,,0,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing","Action,RPG",
TROUBLESHOOTER: Abandoned Children,0,24.99,,0,0,0,0,263,8301,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","Casual,Indie,RPG,Strategy",
Atlantic Quest 2 - New Adventure -,0,8.99,,0,0,0,0,18,0,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",Casual,
DashboardX,0,3.99,,0,0,0,0,0,0,,"Utilities,Early Access",
Twelve Minutes,0,24.99,â€œas expertly crafted as a Swiss watchâ€ 9/10 â€“ GameSpot â€œa compelling bit of unconventional storytelling that could only have worked as a gameâ€ 8/10 â€“ IGN â€œan engrossing experience that marries noir sensibilities and puzzle gameplay into a dense Freudian nightmare.â€ 4/5 â€“ The Guardian,76,0,0,0,12,6528,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie",
MermaidVR Video Player,0,0,,0,0,0,0,0,0,"Tracked Controller Support,VR Only,Partial Controller Support","Utilities,Video Production",
OUMUAMUA,0,4.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Steam Cloud,Family Sharing","Action,Casual",
Torn,0,29.99,,74,0,0,0,25,167,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Steam Trading Cards,Steam Cloud,Family Sharing",Adventure,
è°è¯´å¥¶å¦ˆä¸èƒ½æ‹¯æ•‘ä¸–ç•Œï¼,0,0.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Adventure,Casual,Indie,RPG,Strategy",
DreamWorks Dragons: Legends of The Nine Realms,0,49.99,,0,0,0,0,25,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure",
Wreckfest,0,29.99,"â€œIt's rare when a racing game manages to modernize and reinvigorate an old formula with spectacular confidence, but Wreckfest does just that.â€ 9/10 â€“ GameSpot â€œWreckfest maintains all its promises we expected in all these years of development: destruction, a very accurate physical model and a lot of fun.â€ 8.6/10 â€“ IGN Italia â€œIf you liked FlatOut, you'll love Wreckfest. Drily presented, but wonderfully brutal full-contact racing with impressive physics.â€ 80 % â€“ GameStar",81,0,0,0,20,27815,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Family Sharing","Action,Indie,Racing,Simulation,Sports",
Discharge,0,9.99,,0,0,0,0,20,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Casual,Indie,Strategy",
Behold The Dark,0,2.99,,0,0,0,0,6,0,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Indie",
Choppy Cuts PlayTest,0,0,,0,0,0,0,0,0,,,
Zombie camping,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Casual,Simulation",
Farm Frenzy Collection,0,19.99,,0,0,0,0,0,363,"Single-player,Steam Trading Cards,Captions available,Steam Cloud,Family Sharing","Adventure,Casual,Indie,Simulation,Strategy",
Cubiya,0,9.99,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Casual,Indie",
é­”å¡”ä¸‰å›½ä¹‹é€†ä¹±æ—¶ç©º,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Indie,RPG,Strategy",
Blackbeard the Cursed Jungle,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Casual,Indie,Strategy",
æˆ¦å›½ã®æœ¨ã“ã‚Š,0,0,,0,0,0,0,0,0,Single-player,"Casual,Indie,Simulation,Strategy",
SlavicPunk: Oldtimer,0,24.99,,0,0,0,0,73,139,"Single-player,Partial Controller Support,Family Sharing",Action,
Who Did It? Playtest,0,0,,0,0,0,0,0,0,,,
Xi-Portal,0,0,,0,0,0,0,29,0,Single-player,"Casual,Indie,Free To Play",
Dynopunk,0,14.99,,0,0,0,0,50,339,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Indie,Simulation",
Meow-Jong,0,1.99,,0,0,0,0,14,0,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Simulation,Strategy",
Mary Skelter Finale,0,39.99,,0,0,0,0,34,0,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","RPG,Strategy",
FAST BEAT BATTLE RIDER,0,9.99,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Partial Controller Support,Family Sharing",Racing,
Hunter Girls,0,0.99,,0,0,0,0,1,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie",
Lamia Must Die,0,0,"â€œConsidering the price for Lamia Must Die, you donâ€™t really have anything to lose.â€ 4.5/5 â€“ Backlog",0,0,0,0,0,0,Single-player,"Action,Free To Play,Indie,Massively Multiplayer,RPG",
Memory Player,0,3.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Casual,Indie,RPG,Simulation,Strategy",
Entasy Online,0,0,,0,0,0,0,0,0,"Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer","Action,Adventure,Free To Play,Indie,Massively Multiplayer,RPG,Early Access",
Re:DESTINY,0,1.99,,0,0,0,0,23,385,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Casual,Indie,RPG",
Tiki Brawl,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Remote Play on TV,Remote Play Together","Action,Casual,Indie,Free To Play",
The Stonks Market,0,2.99,,0,0,0,0,13,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Simulation",
Ojiv,0,2.99,,0,0,0,0,24,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie",
Armechgeddon,0,7.99,,0,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing","Action,Indie",
Tiny Tales: Heart of the Forest,0,14.99,,0,0,0,0,20,143,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,Casual",
KingdomÂ´s Edge Playtest,0,0,,0,0,0,0,6,0,,,
Tabletop Simulator,0,19.99,"â€œTabletop Simulator makes me so happy!â€ Rock, Paper, Shotgun â€œThe ingenuity that went into making this [Tabletop Simulator] is pretty impressive.â€ Polygon â€œItâ€™s just a really nice way to play and experiment with new board games.â€ NerdÂ³",0,0,0,0,27,41916,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together,Family Sharing","Casual,Indie,RPG,Simulation,Strategy",
StrangerZ,0,0,,0,0,0,0,17,0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Stats,Steam Leaderboards","Action,Indie,Simulation,Strategy,Free To Play",
Suicide Guy,0,5.99,"â€œBuffoonish physics, characterful low-poly graphics and big flappy handsâ€ Rock, Paper, Shotgun â€œThey say that if you die in your dreams then you die in real life. Letâ€™s hope that isnâ€™t true as you attempt to meet your maker over and over again in Suicide Guy.â€ 8.0 â€“ Gaming Trend â€œDiscovery and surprise are the soul of this game.â€ 8.5 â€“ Tuttotek",0,0,0,0,10,1788,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,VR Support,Steam Cloud,Stats,Steam Leaderboards,Family Sharing",Action,
Manor Lords,0,39.99,"â€œManor Lords is a gorgeous city builder with Total War-style battlesâ€ Rock Paper Shotgun â€œManor Lords enters Early Access as one of the most impressive, ambitious city builders yet.â€ GamesRadar+ â€œManor Lords looks like Braveheart meets Banishedâ€ PCGamesN",0,0,0,0,11,47080,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Simulation,Strategy,Early Access",
Legends of Kailrate,0,1.24,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Action,Strategy",
Dice 1000 online,0,0,,0,0,0,0,25,0,"Multi-player,PvP,Online PvP","Casual,Massively Multiplayer,Simulation,Strategy",
Maze Of Time,0,0.99,,0,0,0,0,11,0,"Single-player,Steam Achievements,Tracked Controller Support,VR Supported,Steam Leaderboards,Family Sharing","Adventure,Strategy",
Green Alert,0,1.99,,0,0,0,0,63,0,"Single-player,Family Sharing","Action,Adventure,RPG",
Dragon Saddle Melee,0,4.99,,0,0,0,0,0,0,"Multi-player,PvP,Online PvP,Partial Controller Support,Family Sharing",Action,
Sonic Lost World,0,29.99,,0,0,0,0,100,3219,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",Adventure,
SCS deORBIT,0,0.99,,0,0,0,0,7,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie,Simulation",
The Homecoming Exhibition,0,0,,0,0,0,0,0,0,Single-player,"Adventure,Casual,Free To Play,Indie,Simulation",
Yerr Out,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support","Action,Casual,Indie,Sports,Free To Play",
Crazy People,0,29.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Strategy",
Utopia Process,0,0,,0,0,0,0,0,0,Single-player,Action,
SEX SPA ðŸ”žðŸ’¦,0,9.99,,0,0,0,0,22,119,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Adventure,Casual,Simulation",
Cursed Crew,0,20,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Indie,Simulation,Strategy,Early Access",
Charm Commerce,0,5.99,,0,0,0,0,46,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Casual,Indie,Simulation",
M doll,0,0,,0,0,0,0,6,0,"Single-player,Steam Achievements,Full controller support,Remote Play Together",Free To Play,
Blade Mistress,0,0,,0,0,0,0,0,0,"Multi-player,MMO,Co-op,Online Co-op","Adventure,Casual,Massively Multiplayer,RPG,Free To Play",
FAN CLUB,0,5.99,,0,0,0,0,0,0,"Single-player,VR Only,Family Sharing","Casual,Indie",
Road Domination,0,9.99,,0,0,0,0,8,0,"Single-player,Partial Controller Support,Family Sharing","Action,Casual,Indie",
Never wake up,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Indie,
Heavy Blade,0,9.99,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Violent,Gore,Action,Indie,RPG",
NoWaitHero,0,9.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Indie,
MIA Playtest,0,0,,0,0,0,0,0,0,,,
SUIKA DISH,0,1.99,,0,0,0,0,9,0,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Family Sharing","Casual,Indie",
WRC 4 FIA World Rally Championship,0,9.99,,0,0,0,0,50,1382,"Single-player,Multi-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",Racing,
Waterfall Prisoner,0,9.99,,0,0,0,0,11,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie",
Kitty Ball,0,0,,0,0,0,0,0,0,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer","Casual,Indie,Strategy,Free To Play",
Still be a Human,0,4.99,,0,0,0,0,19,0,"Single-player,Family Sharing","Action,Indie,RPG,Early Access",
Levi Chronicles,0,3.99,,0,0,0,0,7,0,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Family Sharing","Action,Adventure,Indie",
Non-Euclidean,0,4.99,,0,0,0,0,1,0,"Single-player,Family Sharing","Adventure,Indie",
Tumble,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Indie",
Color Splash: Horses,0,1.99,,0,0,0,0,100,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,
The Legendary Player - Make Your Reputation - OPEN BETA,0,1.99,,0,0,0,0,11,0,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing","Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",
Splitgate,0,0,,0,0,0,0,30,165,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases","Action,Free To Play,Indie",
The Last Safe Place,0,14.99,,0,0,0,0,11,0,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Family Sharing","Adventure,Indie",
Really Bad Flying Machine,0,11.99,,0,0,0,0,10,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Casual,Strategy",
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,0,4.99,"â€œIt's a purely fun experience with plenty of replay value.â€ 9.0 / AMAZING â€“ Jared-IGN â€œRise of the Owlverlord is an excellent platformer. Itâ€™s fun to play, the controls are tight, and the level design is great.â€ 9.5 / Editor's Choice â€“ Zero Tolerance Game Domain â€œRise of the Owlverlord demonstrates that the studio has a knack for creating enjoyable, challenging platforming games.â€ 8.0 â€“ DarkZero",84,0,0,0,17,326,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Indie",
Sinking Simulator: Legacy,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie,Simulation",
Infinite Tao,0,3.99,,0,0,0,0,27,802,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Casual,Indie",
Where Are My Friends?,0,3.99,,0,0,0,0,17,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing","Adventure,Indie",
Torque: Simulation Begins,0,2.99,,0,0,0,0,7,0,"Multi-player,Co-op,Online Co-op,Steam Achievements,Family Sharing",Casual,
Bolt Action,0,0.99,,0,0,0,0,2,0,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Family Sharing","Action,Casual,Indie",
Wastelander,0,9.99,"â€œIncredible minimalist roguelike colony sim!â€ Retromation â€œIt is flippin' fantastic, can't wait to play more!â€ Orbital Potato",0,0,0,0,28,0,"Single-player,Partial Controller Support,Family Sharing","Casual,Indie,Strategy",
Arkady Survive,0,0.99,,0,0,0,0,9,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie,Simulation",
NEUTRANS,0,0,,0,0,0,0,0,0,"Tracked Controller Support,VR Supported",Utilities,
Assemble!,0,10.04,,0,0,0,0,7,0,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Family Sharing","Casual,Indie,Simulation,Strategy",
Asfalia: Anger,0,7.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Casual,Indie",
Azuraelâ€™s Circle: Chapter 5,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Indie,RPG",
non-binary,0,0,,0,0,0,0,0,0,Single-player,"Indie,RPG,Free To Play",
Catzilla 4K - Advanced,0,14.99,,0,0,0,0,12,159,Single-player,Utilities,
Nocturnals Playtest,0,0,,0,0,0,0,8,0,,,
Cat Girl Creator,0,0,,0,0,0,0,0,0,Single-player,Casual,
My Little Life Playtest,0,0,,0,0,0,0,0,0,,,
Palindrome Syndrome: Escape Room,0,9.99,,0,0,0,0,6,433,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Indie",
Cults and Daggers,0,29.99,"â€œThe Game That Let Me Mourn My Lost Faithâ€ Kotaku â€œI found the overall experience to be a fun, unique experience that lends itself to a variety of play styles, giving it a good amount of replay value. With a little more polish, it could become a cult classic.â€ 8/10 â€“ Darkstation â€œCults And Daggers is not a slick game. It is not an easy game to whirl your time away within. It is thoughtful, slow, laborious, and very, very specific to its audience. It is a labor of love meant for a very niche audience, just as Humble warned us it would be. And thatâ€™s why I think itâ€™s worth looking into.â€ Conquistadork",0,0,0,0,0,0,"Single-player,Family Sharing",Strategy,
kabuto,0,2.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Casual",
Grunenberg,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Indie,
äº”é‡‘åœ£å‰‘æ¨¡æ‹Ÿå™¨,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Simulation,
Freedom Force vs. the Third Reich,0,4.99,,0,0,0,0,0,230,"Single-player,Multi-player,Family Sharing","RPG,Strategy",
JungleKnight,0,0,,0,0,0,0,0,0,Single-player,"Adventure,Casual,Free To Play,Indie,Strategy",
Non Fingo VR Playtest,0,0,,0,0,0,0,0,0,VR Only,,
Soccer Simulation,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Indie,Simulation,Sports,Early Access",
é—®é“ä»™é€”,0,2.99,,0,0,0,0,0,0,"Single-player,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie,RPG,Strategy",
Ray Versus,0,1.99,,0,0,0,0,6,0,"Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Remote Play Together,Family Sharing","Casual,Indie",
WARZONE,0,4.99,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen,Remote Play Together,Family Sharing","Indie,Massively Multiplayer,Strategy",
Living in Spring,0,10.99,,0,0,0,0,0,0,"Single-player,Steam Cloud,Family Sharing","Adventure,Casual",
Wild Park Manager,0,8.99,,0,0,0,0,6,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Casual,Indie,Simulation,Strategy",
Puke,0,7.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Indie,Early Access",
DeathSprint 66 Playtest,0,0,,0,0,0,0,0,0,,,
Last Gang Standing,0,10.99,,0,0,0,0,0,0,"Multi-player,PvP,Online PvP,LAN PvP,Family Sharing","Action,Indie,Early Access",
A Better Tomorrow,0,0,,0,0,0,0,18,0,Single-player,"Casual,Strategy,Free To Play",
Nights at the Clown Maze,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Indie,
Just Another Life,0,0,,0,0,0,0,23,0,"Single-player,Steam Achievements","Adventure,Indie,RPG",
Robot Dragon Eagle,0,29.99,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie,Game Development",
Serious Scramblers,0,1.99,"â€œIt is fun, it is addictive and extremely well designed and honestly, there is little I can fault with the game.â€ 9/10 â€“ Shepples â€œWarning, Serious Scramblers is hard to put down.â€ 4/5 â€“ Pepp's indie reviews â€œSerious Scramblers laughs in the face of overly complex systems and gameplay elements, determined instead to deliver good old-fashioned funâ€ Media Moogle",0,0,0,0,13,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Family Sharing","Action,Casual,Indie",
PUSHER - Drug Tycoon,0,5.99,,0,0,0,0,100,0,"Single-player,Steam Achievements,Steam Leaderboards,Family Sharing","Indie,Simulation,Strategy",
Piscirazzi: Fish Photo Shooter Playtest,0,0,,0,0,0,0,0,0,,,
Silver Whistle,0,7.99,,0,0,0,0,21,0,"Single-player,Family Sharing","Indie,RPG",
Sunny Shine Funland!,0,10.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie",
CHARGED: RC Racing,0,9.99,,0,0,0,0,18,0,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Family Sharing","Action,Casual,Indie,Racing,Simulation",
Dark Sector,0,9.99,,66,0,0,0,0,547,"Single-player,Multi-player,Partial Controller Support,Family Sharing",Action,
Refill your Roguelike,0,0,,0,0,0,0,0,0,"Single-player,Steam Workshop","Action,Adventure,Casual,Free To Play,Indie,Early Access",
Professor Teaches Word 2019,0,14.99,,0,0,0,0,0,0,,Software Training,
Dinobag's Arcade,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Indie,Simulation",
Read Only Memories: NEURODIVER,0,14.99,,0,0,0,0,12,152,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Casual,Indie",
The Backrooms: Descent,0,7.99,,0,0,0,0,5,0,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Family Sharing","Adventure,Indie,Early Access",
Cuppy's,0,3.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie,Simulation",
Yono and the Celestial Elephants,0,14.99,4/5 â€“ Cowlevel,0,0,0,0,0,154,"Single-player,Full controller support,Steam Trading Cards,Family Sharing","Adventure,Indie",
Dark Fall: The Journal,0,4.99,"â€œA very well-designed ghost story from a very promising developer, and well worth the purchase for suspense and first-person fans.â€ 7/10 â€“ Adventure Gamers â€œProves that gameplay and story can (and always should) supersede flash and that a game does not need a big budget to tell a great story.â€ 8.6/10 â€“ The Armchair Empire â€œTaking about twenty hours to finish in all, it is packed with some of the scariest moments I have encountered in my gaming life.â€ 80 % â€“ Gamers' Temple",68,0,0,0,0,216,"Single-player,Family Sharing",Adventure,
Ah Diddums,0,2.99,"â€œAll in all this was a pretty good game, with some impressive graphics and plenty of sound.â€ 73% â€“ Retro Gamer (Feb, 2006)",0,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing",Action,
Elemental Defenders TD,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Casual,Indie,Simulation,Strategy",
Underground Prisoner,0,29.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Casual,Indie",
VRealistic Fight: Aim For The Chest,0,13.99,,0,0,0,0,0,0,"Multi-player,PvP,Online PvP,Tracked Controller Support,VR Supported,Family Sharing","Action,Casual",
Steps of Debauchery,0,14.99,,0,0,0,0,24,637,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie,Early Access",
"Codename: Panzers, Phase Two",0,14.99,,80,0,0,0,0,199,"Single-player,Multi-player,Co-op,Includes level editor,Family Sharing","Simulation,Strategy",
Hentai Series: Classic,0,9.99,,0,0,0,0,19,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie",
King Boo,0,2.99,,0,0,0,0,12,121,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Casual",
Fear Protocol: Shadow Paradigm,0,0,,0,0,0,0,0,0,"Single-player,Partial Controller Support","Action,Casual,Free To Play,Indie",
Destroy the Dummies,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Indie",
Viking Idle,0,4.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",
Roborne,0,3.39,,0,0,0,0,29,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Adventure,RPG",
Where is my Heart?,0,7.99,â€œOne of the most surprisingly delightful experiences I've had this year.â€ 9/10 â€“ destructoid â€œAn illusory puzzler that's easy to fall for.â€ 8/10 â€“ Edge Magazine,74,0,0,0,7,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie",
Streaming Girls [18+] - OnlyFap â—LIVE,0,6.99,,0,0,0,0,44,114,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Action,Adventure,Casual,Simulation",
Real life day: Threesome,0,2.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Casual,Indie,RPG,Simulation",
Vanguards,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op","Action,Free To Play,Strategy",
Prezzies,0,10.99,,0,0,0,0,3,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Strategy",
VDoll,0,8.99,,0,0,0,0,2,0,"Single-player,Tracked Controller Support,VR Supported,Family Sharing","Simulation,Early Access",
Splash Adventure: The Maze of Morla,0,1.99,"â€œVale la pena? SÃ­.â€ Vale la pena? â€œSplash Adventure: The Maze of Morla is challenging game, where you have to solve puzzles in tank on water.â€ IndieWorld â€œPretty challenging game with puzzles and Anime Girls. What else is needed for life? (We are now talking, of course, about Anime Girls, not puzzles)â€ GGCurator",0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Action,Adventure,Casual,Indie,Racing",
Path of the Djinn Playtest,0,0,,0,0,0,0,0,0,,,
Lake of Shadows Playtest,0,0,,0,0,0,0,0,0,,,
Just Ignore Them,0,0.67,,0,0,0,0,33,585,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Sexual Content,Violent,Gore,Adventure,Indie",
PraeBot,0,0.99,,0,0,0,0,46,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Indie,Simulation",
BOOBS SAGA: Prepare To Hentai Edition,0,2.99,,0,0,0,0,8,2279,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Family Sharing","Action,Adventure,Massively Multiplayer",
Horse Riding Tales,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer,In-App Purchases","Action,Adventure,Casual,Free To Play,Massively Multiplayer,Racing,RPG,Simulation",
Halfway Down,0,0,,0,0,0,0,18,0,"Single-player,Steam Achievements,Steam Leaderboards","Action,Casual,Indie,Free To Play",
Chuno,0,0.99,,0,0,0,0,5,0,"Single-player,Family Sharing","Action,Casual,Indie",
SimCityâ„¢ 4 Deluxe Edition,0,19.99,,0,0,0,0,0,7443,"Single-player,Family Sharing","Simulation,Strategy",
Shadows of Eldham,0,7.99,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing","Indie,RPG,Simulation",
Satan's Castle,0,0.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing",Strategy,
Berries Challenge,0,199.99,,0,0,0,0,4,0,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Family Sharing","Action,Adventure,Casual,Indie,Simulation",
