Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Tour de Force (CPC/Spectrum),0,3.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Steam Cloud,Family Sharing","Racing,Sports",
"I Have Low Stats But My Class Is Leader, So I Recruited Everyone I Know To Fight The Dark Lord",0,14.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Indie,RPG",
SEARCH ALL - HEARTS,0,1.99,,0,0,0,0,10,0,"Single-player,Steam Achievements,Full controller support,Family Sharing","Casual,Indie",
Pro Basketball Manager 2017,0,19.99,14/20 â€“ -basketball-manager-2017-pour-l-amour-des-stats.htm 7/10 â€“ ActuGaming 8/10 â€“ Trashtalk,0,0,0,0,9,0,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Family Sharing","Simulation,Sports",
Spotter,0,24.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Casual,Indie",
Story of Eve - A Hero's Study,0,2.99,,0,0,0,0,18,432,"Single-player,Family Sharing","Indie,RPG,Strategy",
2048,0,5.99,â€œ2048 Will Make You Forget Flappy Bird Ever Existedâ€ Business Insider â€œLike Candy Crush for math geeksâ€ Wall Street Journal â€œUsers should start playing 2048 only if they're OK with the possibility of it taking over their day.â€ Los Angeles Times,0,0,0,0,15,144,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Family Sharing","Casual,Indie,Strategy",
FourthMotion,0,24.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Casual,Indie,Simulation",
Smutty Scrolls,0,9.99,,0,0,0,0,0,104,"Single-player,Family Sharing","Action,Adventure,Casual,Indie,Early Access",
Sex Story - Cuckold Life - Episode 2,0,2.99,,0,0,0,0,2,0,"Single-player,Steam Achievements,Steam Leaderboards,Family Sharing","Casual,Indie",
